      2 exon_loss_variant&3_prime_UTR_truncation&exon_loss_variant&splice_region_variant
      2 disruptive_inframe_insertion&splice_region_variant
      1 stop_retained_variant
      1 stop_lost&splice_region_variant
      1 stop_lost&missense_variant&disruptive_inframe_deletion
      1 stop_lost&disruptive_inframe_insertion
      1 stop_gained&synonymous_variant
      1 stop_gained&splice_donor_variant&splice_region_variant&synonymous_variant&intron_variant
      1 stop_gained&splice_donor_variant&missense_variant&splice_region_variant&intron_variant
      1 stop_gained&splice_donor_variant&missense_variant&disruptive_inframe_deletion&splice_region_variant&intron_variant
      1 stop_gained&splice_donor_variant&disruptive_inframe_deletion&splice_region_variant&synonymous_variant&intron_variant
      1 stop_gained&splice_acceptor_variant&splice_region_variant&intron_variant
      1 stop_gained&splice_acceptor_variant&disruptive_inframe_deletion&splice_region_variant&intron_variant
      1 stop_gained&missense_variant&conservative_inframe_insertion&splice_region_variant
      1 stop_gained&disruptive_inframe_deletion&synonymous_variant
      1 stop_gained&conservative_inframe_insertion&splice_region_variant
      1 stop_gained&conservative_inframe_deletion&splice_region_variant
      1 start_lost&disruptive_inframe_insertion
      1 start_lost&disruptive_inframe_deletion
      1 start_lost&conservative_inframe_deletion&synonymous_variant
      1 splice_region_variant&stop_retained_variant
      1 splice_region_variant&non_coding_transcript_exon_variant
      1 splice_donor_variant&splice_region_variant&5_prime_UTR_variant&intron_variant
      1 splice_donor_variant&missense_variant&disruptive_inframe_insertion&splice_region_variant&intron_variant
      1 splice_donor_variant&missense_variant&conservative_inframe_insertion&splice_region_variant&intron_variant
      1 splice_donor_variant&disruptive_inframe_deletion&splice_region_variant&synonymous_variant&intron_variant
      1 splice_donor_variant&5_prime_UTR_variant&intron_variant
      1 splice_acceptor_variant&splice_donor_variant&splice_region_variant&intron_variant&non_coding_transcript_exon_variant
      1 splice_acceptor_variant&splice_donor_variant&splice_region_variant&intron_variant
      1 splice_acceptor_variant&missense_variant&conservative_inframe_deletion&splice_region_variant&intron_variant
      1 splice_acceptor_variant&3_prime_UTR_truncation&exon_loss_variant&splice_region_variant&intron_variant
      1 rare_amino_acid_variant
      1 missense_variant&disruptive_inframe_deletion&splice_region_variant
      1 gene_fusion
      1 frameshift_variant&stop_lost&missense_variant&splice_region_variant
      1 frameshift_variant&stop_gained&splice_donor_variant&missense_variant&splice_region_variant&intron_variant
      1 frameshift_variant&stop_gained&splice_acceptor_variant&splice_region_variant&intron_variant
      1 frameshift_variant&stop_gained&splice_acceptor_variant&missense_variant&splice_region_variant&intron_variant
      1 frameshift_variant&stop_gained&missense_variant&splice_region_variant
      1 frameshift_variant&start_lost&synonymous_variant
      1 frameshift_variant&start_lost&3_prime_UTR_truncation&exon_loss_variant&splice_region_variant
      1 exon_loss_variant&stop_lost&conservative_inframe_deletion&synonymous_variant
      1 exon_loss_variant&stop_gained&conservative_inframe_deletion
      1 exon_loss_variant&start_lost&splice_region_variant
      1 exon_loss_variant&start_lost&missense_variant&conservative_inframe_deletion
      1 exon_loss_variant&frameshift_variant&stop_lost&synonymous_variant
      1 exon_loss_variant&disruptive_inframe_deletion&synonymous_variant
      1 exon_loss_variant&conservative_inframe_deletion&synonymous_variant
      1 conservative_inframe_insertion&synonymous_variant
      1 conservative_inframe_deletion&synonymous_variant
      1 5_prime_UTR_truncation&exon_loss_variant
