REGION	COUNT	PERCENT
Coding	107470	87.94383116617432
Splicing	12188	9.973568570329697
Other	1474	1.2061897007438442
Intronic	743	0.6080047134685728
Intergenic/Regulatory	304	0.2487663968969665
UTR	24	0.01963945238660262
